"id	Kanji	""Reading within Joyo""	""Translation of On""",,,
"134	加	カ、くわ-える、くわ-わる	""addition",,,
"135	可	カ	""good",,,
"136	仮	カ、[ケ]、かり	""(Buddhist) vanity""",,,
"137	何	カ、なに、[なん]	what",,,
"138	花	カ、はな	flower",,,
"139	佳	カ	""good",,,
"140	価	カ、あたい	""price",,,
"141	果	カ、は-たす、は-てる、は-て	""fruit",,,
"142	河	カ、かわ	""river",,,
"143	苛	カ	""torment",,,
"144	科	カ	""course",,,
"145	架	カ、か-ける、か-かる	""frame",,,
"146	夏	カ、[ゲ]、なつ	summer",,,
"147	家	カ、ケ、いえ、や	house",,,
"148	荷	カ、に	""shoulder-pole load""",,,
"149	華	カ、[ケ]、はな	""flower",,,
"150	菓	カ	""cakes; fruit""",,,
"151	貨	カ	""property",,,
"152	渦	カ、うず	""eddy",,,
"153	過	カ、す-ぎる、す-ごす、あやま-つ、あやま-ち	""excess; error""",,,
"154	嫁	カ、よめ、とつ-ぐ	""marry (a man); be married to; blame""",,,
"155	暇	カ、ひま	""rest",,,
"156	禍	カ	""calamity",,,
"157	靴	カ、くつ	shoes",,,
"158	寡	カ	""minority",,,
"160	箇	カ	""counters for things""",,,
"161	稼	カ、かせ-ぐ	""work",,,
"162	課	カ	""lesson; section",,,
"163	蚊	か	-",,,
"164	牙	ガ、[ゲ]、きば	""tusk",,,
"165	瓦	ガ、かわら	tile",,,
"166	我	ガ、われ、わ	""ego",,,
"167	画	ガ、カク	""picture",,,
"168	芽	ガ、め	""sprout",,,
"169	賀	ガ	""congratulations",,,
"170	雅	ガ	""elegance",,,
"171	餓	ガ	""be hungry",,,
"172	介	カイ	""shell",,,
"173	回	カイ、[エ]、まわ-る、まわ-す	""time; round",,,
"174	灰	カイ、はい	ashes",,,
"175	会	カイ、エ、あ-う	""Buddhist ceremony; understanding; meeting",,,
"176	快	カイ、こころよ-い	""pleasure",,,
"177	戒	カイ、いまし-める	""commandment; admonition""",,,
"178	改	カイ、あらた-める、あらた-まる	""change",,,
"179	怪	カイ、あや-しい、あや-しむ	""mystery; apparition""",,,
"180	拐	カイ	""falsify",,,
"181	悔	カイ、く-いる、く-やむ、くや-しい	""repend",,,
"182	海	カイ、うみ	""sea",,,
"183	界	カイ	""circle",,,
"184	皆	カイ、みな	""all",,,
"185	械	カイ	""fetters; machine; instrument""",,,
"186	絵	カイ、エ	""picture",,,
"187	開	カイ、ひら-く、ひら-ける、あ-く、あ-ける	opening",,,
"188	階	カイ	""stair",,,
"189	塊	カイ、かたまり	""lump",,,
"190	楷	カイ	""square-character style; straight tree; correctness",,,
"191	解	カイ、ゲ、と-く、と-かす、と-ける	""explanation",,,
"192	潰	カイ、つぶ-す、つぶ-れる	""crush",,,
"193	壊	カイ、こわ-す、こわ-れる	break",,,
"194	懐	カイ、ふところ、なつ-かしい、なつ-かしむ、なつ-く、なつ-ける	""heart",,,
"195	諧	カイ	""harmony",,,
"196	貝	かい	-",,,
"197	外	ガイ、ゲ、そと、ほか、はず-す、はず-れる	""outside",,,
"198	劾	ガイ	""criminal investigation""",,,
"199	害	ガイ	""injury",,,
"200	崖	ガイ、がけ	""cliff",,,
"201	涯	ガイ	shore",,,
"202	街	ガイ、[カイ]、まち	""street",,,
"203	慨	ガイ	""be sad""",,,
"204	蓋	ガイ、ふた	cover",,,
"205	該	ガイ	""the said""",,,
"206	概	ガイ	""approximation; condition",,,
"207	骸	ガイ	""bone",,,
"208	垣	かき	-",,,
"209	柿	かき	-",,,
"210	各	カク、おのおの	each",,,
"211	角	カク、かど、つの	""angle; corner; square; squared timber; target""",,,
"212	拡	カク	""expand",,,
"213	革	カク、かわ	""tanned leather""",,,
"214	格	カク、[コウ]	""status",,,
"215	核	カク	""nucleus",,,
"216	殻	カク、から	""husk",,,
"217	郭	カク	""enclosure; quarters""",,,
"218	覚	カク、おぼ-える、さ-ます、さ-める	""remember",,,
"219	較	カク	""compare",,,
"220	隔	カク、へだ-てる、へだ-たる	""distance",,,
"221	閣	カク	""tower",,,
"222	確	カク、たし-か、たし-かめる	""firm",,,
"223	獲	カク、え-る	""get",,,
"224	嚇	カク	""threaten; frighten; intimidate""",,,
"225	穫	カク	""harvest",,,
"226	学	ガク、まな-ぶ	""learning",,,
"227	岳	ガク、たけ	""peak",,,
"228	楽	ガク、ラク、たの-しい、たの-しむ	""music; comfort",,,
"229	額	ガク、ひたい	""tablet",,,
"230	顎	ガク、あご	jaw",,,
"231	掛	か-ける、か-かる、かかり	-",,,
"232	潟	かた	-",,,
"233	括	カツ	""tie up",,,
"234	活	カツ	""living; being helped; resuscitation""",,,
"235	喝	カツ	""scold",,,
"236	渇	カツ、かわ-く	thirst",,,
"237	割	カツ、わ-る、わり、わ-れる、さ-く	""divide",,,
"238	葛	カツ、くず	""arrowroot",,,
"239	滑	カツ、コツ、すべ-る、なめ-らか	""slide",,,
"240	褐	カツ	""woolen kimono""",,,
"241	轄	カツ	wedge",,,
"242	且	か-つ	-",,,
"243	株	かぶ	-",,,
"244	釜	かま	-",,,
"245	鎌	かま	-",,,
"246	刈	か-る	-",,,
"247	干	カン、ほ-す、ひ-る	""parch",,,
"248	刊	カン	""publishig; carve",,,
"249	甘	カン、あま-い、あま-える、あま-やかす	""presume upon",,,
"250	汗	カン、あせ	""be sweaty""",,,
"251	缶	カン	can",,,
"252	完	カン	""comletion",,,
"253	肝	カン、きも	liver",,,
"254	官	カン	""the Government",,,
"255	冠	カン、かんむり	""crown",,,
"256	巻	カン、ま-く、まき	""volume",,,
"257	看	カン	see",,,
"258	陥	カン、おちい-る、おとしい-れる	""fall into",,,
"259	乾	カン、かわ-く、かわ-かす	""heaven; emperor""",,,
"260	勘	カン	""perception",,,
"261	患	カン、わずら-う	disease",,,
"262	貫	カン、つらぬ-く	""8.3/1 pounds""",,,
"263	寒	カン、さむ-い	""midwinter",,,
"264	喚	カン	""cry",,,
"265	堪	カン、た-える	""endure; support; withstand",,,
"266	換	カン、か-える、か-わる	""change",,,
"267	敢	カン	""sad",,,
"268	棺	カン	""casket",,,
"269	款	カン	""article",,,
"270	間	カン、ケン、あいだ、ま	""interval; space; between; among; discord; favorable opportunity; six feet""",,,
"271	閑	カン	leisure",,,
"272	勧	カン、すす-める	""recommend",,,
"273	寛	カン	""leniency",,,
"274	幹	カン、みき	""(tree) trunk""",,,
"275	感	カン	""feeling",,,
"276	漢	カン	""Han (Dynasty); (old name for China)",,,
"277	慣	カン、な-れる、な-らす	""experience; become a habit""",,,
"278	管	カン、くだ	""pipe",,,
"279	関	カン、せき、かか-わる	""barrier",,,
"280	歓	カン	""joy",,,
"281	監	カン	""office",,,
"282	緩	カン、ゆる-い、ゆる-やか、ゆる-む、ゆる-める	""loosen",,,
"283	憾	カン	""regret",,,
"284	還	カン	""return; take one's leave; come again; come around (time)""",,,
"285	館	カン、やかた	""mansion",,,
"286	環	カン	ring",,,
"287	簡	カン	""brevity",,,
"288	観	カン	""look",,,
"289	韓	カン	Korea",,,
"290	艦	カン	warship",,,
"291	鑑	カン、かんが-みる	""take warning from",,,
"292	丸	ガン、まる、まる-い、まる-める	""full (month); perfection; purity; the ship-name suffix anciently used after the name of a sword or a child""",,,
"293	含	ガン、ふく-む、ふく-める	""hold in the mouth; bear in mind",,,
"294	岸	ガン、きし	""bank",,,
"295	岩	ガン、いわ	""rock",,,
"296	玩	ガン	""play; take pleasure in; play (on an instrument); play with; make sport of; trifle with (affections)""",,,
"297	眼	ガン、[ゲン]、まなこ	""eye; look",,,
"298	頑	ガン	""stubborn; foolish""",,,
"299	顔	ガン、かお	""face",,,
"300	願	ガン、ねが-う	""prayer",,,
"301	企	キ、くわだ-てる	""plan",,,
"302	伎	キ	""deed",,,
"303	危	キ、あぶ-ない、あや-うい、あや-ぶむ	""be afraid of",,,
"304	机	キ、つくえ	""desk",,,
"305	気	キ、ケ	""spirit",,,
"306	岐	キ	""forking road; street; scene; quarters; arena",,,
"307	希	キ	Greece",,,
"308	忌	キ、い-む、い-まわしい	""mourning; death anniversary; something detestable""",,,
"309	汽	キ	""vapor",,,
"310	奇	キ	""strangeness",,,
"311	祈	キ、いの-る	""pray; wish""",,,
"312	季	キ	season",,,
"313	紀	キ	""account",,,
"314	軌	キ	""wheel track; railway; orbit; rut; rule; model; road",,,
"315	既	キ、すで-に	""previously; already",,,
"316	記	キ、しる-す	""account",,,
"317	起	キ、お-きる、お-こる、お-こす	""get up",,,
"318	飢	キ、う-える	""be hungry",,,
"319	鬼	キ、おに	""devil",,,
"320	帰	キ、かえ-る、かえ-す	""return; take one's leave; come again; come around (time)""",,,
"321	基	キ、もと、もとい	""radical (in chemistry); counter for lanterns",,,
