"id	Kanji	""Reading within Joyo""	""Translation of On""",,,
"572	誇	コ、ほこ-る	""boast of",,,
"573	鼓	コ、つづみ	drum",,,
"574	錮	コ	""to tie""",,,
"575	顧	コ、かえり-みる	""look back; turn around",,,
"576	五	ゴ、いつ、いつ-つ	five",,,
"577	互	ゴ、たが-い	""mutually",,,
"578	午	ゴ	""11 a.m.-1 p.m.; 7th zodiac sign""",,,
"579	呉	ゴ	""give; do (something) for""",,,
"580	後	ゴ、コウ、のち、うし-ろ、あと、おく-れる	""back",,,
"581	娯	ゴ	pleasure",,,
"582	悟	ゴ、さと-る	""perceive",,,
"583	碁	ゴ	""Japanese checkers""",,,
"584	語	ゴ、かた-る、かた-らう	""word",,,
"585	誤	ゴ、あやま-る	""err",,,
"586	護	ゴ	""defend",,,
"587	口	コウ、ク、くち	mouth",,,
"588	工	コウ、ク	""artisan",,,
"589	公	コウ、おおやけ	""public",,,
"590	勾	コウ	""to bent""",,,
"591	孔	コウ	""hole",,,
"592	功	コウ、[ク]	""merits",,,
"593	巧	コウ、たく-み	skilled",,,
"594	広	コウ、ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げる	""spread out",,,
"595	甲	コウ、カン	""high (voice). first class； former； back (of the hand); instep; armor; shell",,,
"596	交	コウ、まじ-わる、まじ-える、ま-じる、ま-ざる、ま-ぜる、か-う、か-わす	""coming and going",,,
"597	光	コウ、ひか-る、ひかり	light",,,
"598	向	コウ、む-く、む-ける、む-かう、む-こう	""face",,,
"599	后	コウ	""after; behind; back; later""",,,
"600	好	コウ、この-む、す-く	""like",,,
"601	江	コウ、え	""inlet",,,
"602	考	コウ、かんが-える	""thought",,,
"603	行	コウ、ギョウ、[アン]、い-く、ゆ-く、おこな-う	""party",,,
"604	坑	コウ	""pit",,,
"605	孝	コウ	""filial piety""",,,
"606	抗	コウ	""resist",,,
"607	攻	コウ、せ-める	""attack",,,
"608	更	コウ、さら、ふ-ける、ふ-かす	""a watch of the night""",,,
"609	効	コウ、き-く	""efficacy",,,
"610	幸	コウ、さいわ-い、さち、しあわ-せ	""happiness",,,
"611	拘	コウ	""seize",,,
"612	肯	コウ	""agree to",,,
"613	侯	コウ	""marquis; load",,,
"614	厚	コウ、あつ-い	""very thick; heavy""",,,
"615	恒	コウ	always",,,
"616	洪	コウ	""flood",,,
"617	皇	コウ、オウ	emperor",,,
"618	紅	コウ、[ク]、べに、くれない	""red",,,
"619	荒	コウ、あら-い、あ-れる、あ-らす	""rough",,,
"620	郊	コウ	""suburbs; rural area""",,,
"621	香	コウ、[キョウ]、か、かお-り、かお-る	""incense",,,
"622	候	コウ、そうろう	""season",,,
"623	校	コウ	""school; (printing) proof; comparison; correction; investigation""",,,
"624	耕	コウ、たがや-す	""plow",,,
"625	航	コウ	""navigation; cross over""",,,
"626	貢	コウ、[ク]、みつ-ぐ	tribute",,,
"627	降	コウ、お-りる、お-ろす、ふ-る	""going down; surrender""",,,
"628	高	コウ、たか-い、たか、たか-まる、たか-める	high",,,
"629	康	コウ	peace",,,
"630	控	コウ、ひか-える	""draw in; hold back",,,
"631	梗	コウ	""for the most part; close up""",,,
"632	黄	コウ、オウ、き、[こ]	yellow",,,
"633	喉	コウ、のど	""throat",,,
"634	慌	コウ、あわ-てる、あわ-ただしい	""be confused",,,
"635	港	コウ、みなと	""port",,,
"636	硬	コウ、かた-い	""hard",,,
"637	絞	コウ、しぼ-る、し-める、し-まる	""strangle",,,
"638	項	コウ	""clause",,,
"639	溝	コウ、みぞ	""ditch",,,
"640	鉱	コウ	ore",,,
"641	構	コウ、かま-える、かま-う	""build; keep house; take a posture; assume an attitude; pose as; be ready for; feign",,,
"642	綱	コウ、つな	""class (in zoology)""",,,
"643	酵	コウ	fermentation",,,
"644	稿	コウ	""copy",,,
"645	興	コウ、キョウ、おこ-る、おこ-す	""interest",,,
"646	衡	コウ	""measuring rod; scales""",,,
"647	鋼	コウ、はがね	steel",,,
"648	講	コウ	""lecture",,,
"649	購	コウ	buy",,,
"650	乞	こ-う	-",,,
"651	号	ゴウ	""number; item",,,
"652	合	ゴウ、ガッ、[カッ]、あ-う、あ-わす、あ-わせる	one-tenth",,,
"653	拷	ゴウ	""beat",,,
"654	剛	ゴウ	strength",,,
"655	傲	ゴウ	""be proud""",,,
"656	豪	ゴウ	""great",,,
"657	克	コク	""win; prevail",,,
"658	告	コク、つ-げる	""tell",,,
"659	谷	コク、たに	""valley",,,
"660	刻	コク、きざ-む	""time; carving",,,
"661	国	コク、くに	country",,,
"662	黒	コク、くろ、くろ-い	""black; dark""",,,
"663	穀	コク	""cereals",,,
"664	酷	コク	""severity",,,
"665	獄	ゴク	""prison",,,
"666	骨	コツ、ほね	""bone; remains; knack""",,,
"667	駒	こま	-",,,
"668	込	こ-む、こ-める	-",,,
"669	頃	ころ	-",,,
"670	今	コン、キン、いま	""now",,,
"671	困	コン、こま-る	""be distressed be in trouble",,,
"672	昆	コン	""descendants",,,
"673	恨	コン、うら-む、うら-めしい	""bear a grudge",,,
"674	根	コン、ね	""root (of a plant); root",,,
"675	婚	コン	marriage",,,
"676	混	コン、ま-じる、ま-ざる、ま-ぜる、こ-む	""mix; blend; adulterate; confound",,,
"677	痕	コン、あと	""mark; footprint""",,,
"678	紺	コン	""dark blue",,,
"679	魂	コン、たましい	""soul",,,
"680	墾	コン	""open up farmland""",,,
"681	懇	コン、ねんご-ろ	""kind",,,
"682	左	サ、ひだり	""left; the following""",,,
"683	佐	サ	help",,,
"684	沙	サ	sand",,,
"685	査	サ	investigate",,,
"686	砂	サ、シャ、すな	sand",,,
"687	唆	サ、そそのか-す	""tempt",,,
"688	差	サ、さ-す	""difference",,,
"689	詐	サ	""lie",,,
"690	鎖	サ、くさり	""chain; irons; connection""",,,
"691	座	ザ、すわ-る	""seat",,,
"692	挫	ザ	""crush",,,
"693	才	サイ	""ability",,,
"694	再	サイ、[サ]、ふたた-び	""again",,,
"695	災	サイ、わざわ-い	""calamity",,,
"696	妻	サイ、つま	""(my) wife""",,,
"697	采	サイ	""dice; form",,,
"698	砕	サイ、くだ-く、くだ-ける	""break",,,
"699	宰	サイ	""manager; rule""",,,
"700	栽	サイ	planting",,,
"701	彩	サイ、いろど-る	""color",,,
"702	採	サイ、と-る	""take",,,
"703	済	サイ、す-む、す-ます	""end; do without; avoid; be excusable; need not""",,,
"704	祭	サイ、まつ-る、まつ-り	""offer prayers; celebrate; deify; enshrine; worship""",,,
"705	斎	サイ	""Buddhist food; room""",,,
"706	細	サイ、ほそ-い、ほそ-る、こま-か、こま-かい	""get thin; taper off""",,,
"707	菜	サイ、な	""side dish; greens; vegetables""",,,
"708	最	サイ、もっと-も	most",,,
"709	裁	サイ、た-つ、さば-く	judge",,,
"710	債	サイ	""debt",,,
"711	催	サイ、もよお-す	""hold (a meeting); give (a dinner); feel; show signs of",,,
"712	塞	サイ、ソク、ふさ-ぐ、ふさ-がる	""close",,,
"713	歳	サイ、[セイ]	""year",,,
"714	載	サイ、の-せる、の-る	""ride",,,
"715	際	サイ、きわ	""time",,,
"716	埼	[さい]	-",,,
"717	在	ザイ、あ-る	""outskirts",,,
"718	材	ザイ	""log; timber",,,
"719	剤	ザイ	""medicine",,,
"720	財	ザイ、[サイ]	""money",,,
"721	罪	ザイ、つみ	""sin",,,
"722	崎	さき	-",,,
"723	作	サク、サ、つく-る	""a work",,,
"724	削	サク、けず-る	""plane",,,
"725	昨	サク	""the past; yesterday",,,
"726	柵	サク	""stockade",,,
"727	索	サク	""rope",,,
"728	策	サク	""plan",,,
"729	酢	サク、す	vinegar",,,
"730	搾	サク、しぼ-る	""wring",,,
"731	錯	サク	""mix",,,
"732	咲	さ-く	-",,,
"733	冊	サツ、サク	""volume",,,
"734	札	サツ、ふだ	""paper money",,,
"735	刷	サツ、す-る	print",,,
"736	刹	サツ、セツ	temple",,,
"737	拶	サツ	""be imminent""",,,
"738	殺	サツ、[サイ]、[セツ]、ころ-す	""kill",,,
"739	察	サツ	""presume",,,
"740	撮	サツ、と-る	""pick",,,
"741	擦	サツ、す-る、す-れる	""rub",,,
"742	雑	ザツ、ゾウ	""miscellany; miscellaneous""",,,
"743	皿	さら	-",,,
"744	三	サン、み、み-つ、みっ-つ	three",,,
"745	山	サン、やま	""mount",,,
"746	参	サン、まい-る	""three; going; coming; visiting""",,,
"747	桟	サン	""crosspiece",,,
"748	蚕	サン、かいこ	""silk worm""",,,
"749	惨	サン、ザン、みじ-め	""disaster; cruelty; wretchedness""",,,
"750	産	サン、う-む、う-まれる、うぶ	""childbirth; product; native (of a place); fortune",,,
"751	傘	サン、かさ	""umbrella",,,
"752	散	サン、ち-る、ち-らす、ち-らかす、ち-らかる	""scatter",,,
"753	算	サン	""divining (block); calculation; number; abacus; plan; probability""",,,
"754	酸	サン、す-い	""acid; bitterness""",,,
"755	賛	サン	""praise; title or brief inscription on picture; agreement""",,,
"756	残	ザン、のこ-る、のこ-す	""remainder; balance""",,,
"757	斬	ザン、き-る	beheading",,,
"758	暫	ザン	""for a while",,,
"759	士	シ	""samurai; man",,,
"760	子	シ、ス、こ	""viscount",,,
"761	支	シ、ささ-える	branch",,,
"762	止	シ、と-まる、と-める	""stop",,,
"763	氏	シ、うじ	""Mr.; family",,,
"764	仕	シ、[ジ]、つか-える	""official; civil service""",,,
"765	史	シ	""history",,,
"766	司	シ	""official; government office""",,,
"767	四	シ、よ、よ-つ、よっ-つ、よん	four",,,
"768	市	シ、いち	""city",,,
"769	矢	シ、や	arrow",,,
"770	旨	シ、むね	""relish",,,
"771	死	シ、し-ぬ	death",,,
"772	糸	シ、いと	""thread; one ten-thousandth of a hair""",,,
"773	至	シ、いた-る	""go",,,
"774	伺	シ、うかが-う	""visit; ask",,,
"775	志	シ、こころざ-す、こころざし	""record; shilling; will",,,
"776	私	シ、わたくし、わたし	""I; private affairs""",,,
"777	使	シ、つか-う	""use; messenger""",,,
"778	刺	シ、さ-す、さ-さる	""calling card""",,,
"779	始	シ、はじ-める、はじ-まる	beginning",,,
"780	姉	シ、あね	""elder sister""",,,
"781	枝	シ、えだ	""branch",,,
"782	祉	シ	happiness",,,
"783	肢	シ	""limbs",,,
"784	姿	シ、すがた	""figure",,,
"785	思	シ、おも-う	""think",,,
"786	指	シ、ゆび、さ-す	finger",,,
"787	施	シ、セ、ほどこ-す	""give alms; conduct (educational work); carry out; administer (first aid); apply (bandages); perform (an operation)""",,,
"788	師	シ	""teacher",,,
"789	恣	シ	""self-indulgent",,,
"790	紙	シ、かみ	paper",,,
"791	脂	シ、あぶら	""fat",,,
"792	視	シ	""regard as""",,,
"793	紫	シ、むらさき	""purple",,,
"794	詞	シ	""words; poetry""",,,
"795	歯	シ、は	""tooth; age""",,,
"796	嗣	シ	heir",,,
"797	試	シ、こころ-みる、ため-す	testing",,,
"798	詩	シ	""poem",,,
"799	資	シ	""resources",,,
"800	飼	シ、か-う	""raising (animals)""",,,
"801	誌	シ	""records; document; magazine""",,,
"802	雌	シ、め、めす	female",,,
"803	摯	シ	""gift",,,
"804	賜	シ、たまわ-る	""deign to",,,
"805	諮	シ、はか-る	""consult with""",,,
"806	示	ジ、シ、しめ-す	indication",,,
"807	字	ジ、あざ	""character",,,
"808	寺	ジ、てら	temple",,,
"809	次	ジ、シ、つ-ぐ、つぎ	""order",,,
"810	耳	ジ、みみ	ear",,,
"811	自	ジ、シ、みずか-ら	oneself",,,
"812	似	ジ、に-る	resemble",,,
"813	児	ジ、[ニ]	child",,,
"814	事	ジ、[ズ]、こと	""thing",,,
"815	侍	ジ、さむらい	""wait upon",,,
"816	治	ジ、チ、おさ-める、おさ-まる、なお-る、なお-す	""peace; government. cure",,,
"817	持	ジ、も-つ	""hold",,,
"818	時	ジ、とき	""hour",,,
"819	滋	ジ	""more and more; be luxuriant; planting; turbidity""",,,
"820	慈	ジ、いつく-しむ	""love",,,
"821	辞	ジ、や-める	""word",,,
"822	磁	ジ	""magnetism; porcelain""",,,
"823	餌	ジ、えさ、え	food",,,
"824	璽	ジ	""emperor's seal""",,,
"825	鹿	しか、[か]	-",,,
"826	式	シキ	""ceremony",,,
"827	識	シキ	""know",,,
"828	軸	ジク	""axis; axle; spindle; shaft; pivot; stem",,,
"829	七	シチ、なな、なな-つ、[なの]	seven",,,
"830	叱	シツ、しか-る	""scold",,,
"831	失	シツ、うしな-う	""error; fault; disadvantage; loss; demerit""",,,
"832	室	シツ、むろ	""room",,,
"833	疾	シツ	""illness",,,
"834	執	シツ、シュウ、と-る	""take",,,
"835	湿	シツ、しめ-る、しめ-す	""dampness",,,
"836	嫉	シツ	""be jealous",,,
"837	漆	シツ、うるし	""lacquer",,,
"838	質	シツ、シチ、[チ]	""substance",,,
"839	実	ジツ、み、みの-る	""truth",,,
"840	芝	しば	-",,,
"841	写	シャ、うつ-す、うつ-る	""be photographed; be projected (on a screen); (light or shadows) fall on""",,,
"842	社	シャ、やしろ	""Shinto shrine; association; firm",,,
"843	車	シャ、くるま	""vehicle",,,
"844	舎	シャ	""inn; hut",,,
"845	者	シャ、もの	""person; thing""",,,
"846	射	シャ、い-る	""archery; shooting""",,,
"847	捨	シャ、す-てる	""throw away",,,
"848	赦	シャ	forgiveness",,,
"849	斜	シャ、なな-め	""slanting",,,
"850	煮	シャ、に-る、に-える、に-やす	""boil",,,
"851	遮	シャ、さえぎ-る	""interrupt",,,
"852	謝	シャ、あやま-る	""thank; apologize; decline",,,
"853	邪	ジャ	""injustice",,,
"854	蛇	ジャ、ダ、へび	""snake",,,
"855	尺	シャク	""Japanese foot; rule; measure",,,
"856	借	シャク、か-りる	borrowing",,,
"857	酌	シャク、く-む	""serving sake; the server""",,,
"858	釈	シャク	explanation",,,
"859	爵	シャク	""peerage",,,
"860	若	ジャク、[ニャク]、わか-い、も-しくは	if",,,
"861	弱	ジャク、よわ-い、よわ-る、よわ-まる、よわ-める	""weakness; the weak""",,,
"862	寂	ジャク、[セキ]、さび、さび-しい、さび-れる	""quietly; death of a priest""",,,
"863	手	シュ、て、[た]	""hand",,,
"864	主	シュ、[ス]、ぬし、おも	""Lord; lord",,,
"865	守	シュ、[ス]、まも-る、も-り	""defend",,,
"866	朱	シュ	""cinnabar; vermilion""",,,
"867	取	シュ、と-る	""take",,,
"868	狩	シュ、か-る、か-り	hunt",,,
"869	首	シュ、くび	""head; neck; beginning",,,
"870	殊	シュ、こと	""especially",,,
"871	珠	シュ	""gem",,,
"872	酒	シュ、さけ、[さか]	""sake",,,
"873	腫	シュ、は-れる、は-らす	""tumor",,,
"874	種	シュ、たね	""kind",,,
"875	趣	シュ、おもむき	""proceed to; become; tend toward""",,,
"876	寿	ジュ、ことぶき	""age; one's natural life; longevity; congratulations""",,,
"877	受	ジュ、う-ける、う-かる	receive",,,
"878	呪	ジュ、のろ-う	""spell",,,
"879	授	ジュ、さず-ける、さず-かる	""give",,,
"880	需	ジュ	""request",,,
"881	儒	ジュ	""Confucianism; Confucianist; Chinese scholar""",,,
"882	樹	ジュ	""tree",,,
"883	収	シュウ、おさ-める、おさ-まる	income",,,
"884	囚	シュウ	""criminal",,,
"885	州	シュウ、す	""province",,,
"886	舟	シュウ、ふね、[ふな]	boat",,,
"887	秀	シュウ、ひい-でる	""excellence; beauty""",,,
"888	周	シュウ、まわ-り	""circuit",,,
"889	宗	シュウ、ソウ	""religion",,,
"890	拾	シュウ、ジュウ、ひろ-う	ten",,,
"891	秋	シュウ、あき	autumn",,,
"892	臭	シュウ、くさ-い、にお-う	""odor",,,
"893	修	シュウ、[シュ]、おさ-める、おさ-まる	""govern oneself",,,
"894	袖	シュウ、そで	""sleeve",,,
"895	終	シュウ、お-わる、お-える	end",,,
"896	羞	シュウ	""feel ashamed""",,,
"897	習	シュウ、なら-う	""learn",,,
"898	週	シュウ	week",,,
"899	就	シュウ、[ジュ]、つ-く、つ-ける	""settle in (place); take (a seat); take (a position); depart; study (under a teacher)""",,,
"900	衆	シュウ、[シュ]	""great numbers",,,
"901	集	シュウ、あつ-まる、あつ-める、つど-う	""collection",,,
"902	愁	シュウ、うれ-える、うれ-い	""grieve",,,
"903	酬	シュウ	""reward",,,
"904	醜	シュウ、みにく-い	""ugliness; uncleanness; shame""",,,
"905	蹴	シュウ、け-る	kick",,,
"906	襲	シュウ、おそ-う	attack",,,
"907	十	ジュウ、ジッ、とお、と	ten",,,
"908	汁	ジュウ、しる	juice",,,
"909	充	ジュウ、あ-てる	fill",,,
"910	住	ジュウ、す-む、す-まう	""dwelling",,,
"911	柔	ジュウ、ニュウ、やわ-らか、やわ-らかい	""weakness; gentleness; softness""",,,
"912	重	ジュウ、チョウ、え、おも-い、かさ-ねる、かさ-なる	""nest of boxes""",,,
"913	従	ジュウ、[ショウ]、[ジュ]、したが-う、したが-える	""secondary",,,
"914	渋	ジュウ、しぶ、しぶ-い、しぶ-る	""hesitate",,,
"915	銃	ジュウ	""gun",,,
"916	獣	ジュウ、けもの	""animal",,,
"917	縦	ジュウ、たて	""length",,,
"918	叔	シュク	""uncle; youth""",,,
"919	祝	シュク、[シュウ]、いわ-う	""celebration",,,
"920	宿	シュク、やど、やど-る、やど-す	""lodging",,,
"921	淑	シュク	""graceful",,,
"922	粛	シュク	""quietly",,,
"923	縮	シュク、ちぢ-む、ちぢ-まる、ちぢ-める、ちぢ-れる、ちぢ-らす	""shrink",,,
"924	塾	ジュク	""private school; boarding school; gate house""",,,
"925	熟	ジュク、う-れる	""ripen",,,
"926	出	シュツ、[スイ]、で-る、だ-す	""born of; appearing from; going out; sending out""",,,
"927	述	ジュツ、の-べる	""state",,,
"928	術	ジュツ	""art",,,
"929	俊	シュン	""excellence",,,
"930	春	シュン、はる	spring",,,
"931	瞬	シュン、またた-く	""wink",,,
"932	旬	ジュン、[シュン]	""ten-day period. season (for specific products)""",,,
"933	巡	ジュン、めぐ-る	""going around; circumference""",,,
"934	盾	ジュン、たて	""shield",,,
"935	准	ジュン	""quasi-",,,
"936	殉	ジュン	""die a martyr",,,
"937	純	ジュン	""purity",,,
"938	循	ジュン	follow",,,
"939	順	ジュン	""order; turn; right; docility",,,
"940	準	ジュン	""apply correspondingly",,,
"941	潤	ジュン、うるお-う、うるお-す、うる-む	""be watered; profit by",,,
"942	遵	ジュン	""follow",,,
"943	処	ショ	""manage",,,
"944	初	ショ、はじ-め、はじ-めて、はつ、うい、そ-める	""beginning",,,
"945	所	ショ、ところ	place",,,
"946	書	ショ、か-く	""handwriting; letter",,,
"947	庶	ショ	""all; illegitimate child""",,,
"948	暑	ショ、あつ-い	""summer heat""",,,
"949	署	ショ	""government office",,,
"950	緒	ショ、[チョ]、お	""beginning",,,
"951	諸	ショ	""many",,,
"952	女	ジョ、ニョ、[ニョウ]、おんな、め	""woman",,,
"953	如	ジョ、ニョ	""like",,,
"954	助	ジョ、たす-ける、たす-かる、すけ	""help",,,
"955	序	ジョ	""beginning; preface; order",,,
"956	叙	ジョ	""relate",,,
"957	徐	ジョ	""slowly",,,
"958	除	ジョ、[ジ]、のぞ-く	""division (in math)""",,,
"959	小	ショウ、ちい-さい、こ、お	""smallness; minor; small. humility prefix",,,
"960	升	ショウ、ます	""1.8 liter""",,,
"961	少	ショウ、すく-ない、すこ-し	""few; small; young""",,,
"962	召	ショウ、め-す	""call",,,
"963	匠	ショウ	""workman",,,
"964	床	ショウ、とこ、ゆか	""bed",,,
"965	抄	ショウ	""selection",,,
"966	肖	ショウ	resemble",,,
"967	尚	ショウ	""further",,,
"968	招	ショウ、まね-く	""beckon to",,,
"969	承	ショウ、うけたまわ-る	""receive",,,
"970	昇	ショウ、のぼ-る	""rise",,,
"971	松	ショウ、まつ	pine",,,
"972	沼	ショウ、ぬま	""swamp",,,
"973	昭	ショウ	""clear",,,
"974	宵	ショウ、よい	""evening",,,
"975	将	ショウ	""commander",,,
"976	消	ショウ、き-える、け-す	""extinguish",,,
"977	症	ショウ	""illness; condition of a patient; nature of a disease",,,
"978	祥	ショウ	happiness",,,
"979	称	ショウ	""name",,,
"980	笑	ショウ、わら-う、え-む	laughter",,,
"981	唱	ショウ、とな-える	""recite",,,
"982	商	ショウ、あきな-う	""trade",,,
"983	渉	ショウ	""cross",,,
"984	章	ショウ	""chapter; composition; poem; badge",,,
"985	紹	ショウ	""inherit",,,
"986	訟	ショウ	accuse",,,
"987	勝	ショウ、か-つ、まさ-る	""victory",,,
"988	掌	ショウ	""rule",,,
"989	晶	ショウ	""clear",,,
"990	焼	ショウ、や-く、や-ける	burning",,,
"991	焦	ショウ、こ-げる、こ-がす、こ-がれる、あせ-る	""burn",,,
"992	硝	ショウ	saltpeter",,,
"993	粧	ショウ	""adorn (one's person)""",,,
"994	詔	ショウ、みことのり	""imperial edict""",,,
"995	証	ショウ	""proof",,,
"996	象	ショウ、ゾウ	""image; shape; sign (of the times). elephant""",,,
"997	傷	ショウ、きず、いた-む、いた-める	""wound",,,
"998	奨	ショウ	""urge",,,
"999	照	ショウ、て-る、て-らす、て-れる	shine",,,
"1000	詳	ショウ、くわ-しい	""full",,,
"1001	彰	ショウ	clear",,,
"1002	障	ショウ、さわ-る	""hinder",,,
"1003	憧	ショウ、あこが-れる	""yearn after",,,
"1004	衝	ショウ	""brunt; opposition (in astronomy); highway; collision; important point""",,,
"1005	賞	ショウ	""prize",,,
"1006	償	ショウ、つぐな-う	""make up for",,,
"1007	礁	ショウ	""sunken rock""",,,
"1008	鐘	ショウ、かね	""bell",,,
"1009	上	ジョウ、[ショウ]、うえ、[うわ]、かみ、あ-げる、あ-がる、のぼ-る、のぼ-せる、のぼ-す	""top; best; first volume. upper part; government. aboard a ship or vehicle; from the standpoint of; as a matter of (fact). governmental; imperial; best; high class; going up; presenting; showing""",,,
"1010	丈	ジョウ、たけ	""10 feet; length",,,
"1011	冗	ジョウ	uselessness",,,
"1012	条	ジョウ	""article",,,
"1013	状	ジョウ	""condition",,,
"1014	乗	ジョウ、の-る、の-せる	""power (in math); multiplication; record; vehicle; vehicle counter""",,,
"1015	城	ジョウ、しろ	castle",,,
"1016	浄	ジョウ	""clean",,,
"1017	剰	ジョウ	besides",,,
"1018	常	ジョウ、つね、とこ	""normal conditions",,,
"1019	情	ジョウ、[セイ]、なさ-け	""feeling",,,
"1020	場	ジョウ、ば	""place",,,
"1021	畳	ジョウ、たた-む、たたみ	""mat counter""",,,
"1022	蒸	ジョウ、む-す、む-れる、む-らす	""steam",,,
"1023	縄	ジョウ、なわ	""rope",,,
"1024	壌	ジョウ	""earth",,,
"1025	嬢	ジョウ	""girl",,,
"1026	錠	ジョウ	""lock",,,
"1027	譲	ジョウ、ゆず-る	""turn over",,,
"1028	醸	ジョウ、かも-す	""brew",,,
"1029	色	ショク、シキ、いろ	color",,,
"1030	拭	ショク、ふ-く、ぬぐ-う	""wipe",,,
"1031	食	ショク、[ジキ]、く-う、く-らう、た-べる	""food",,,
"1032	植	ショク、う-える、う-わる	planting",,,
"1033	殖	ショク、ふ-える、ふ-やす	increase",,,
"1034	飾	ショク、かざ-る	""ornament",,,
"1035	触	ショク、ふ-れる、さわ-る	touching",,,
"1036	嘱	ショク	requesting",,,
"1037	織	ショク、シキ、お-る	weaveing",,,
"1038	職	ショク	""employment",,,
"1039	辱	ジョク、はずかし-める	""humiliate",,,
"1040	尻	しり	-",,,
"1041	心	シン、こころ	""heart",,,
"1042	申	シン、もう-す	""have the honor to; say",,,
"1043	伸	シン、の-びる、の-ばす、の-べる	stretching",,,
"1044	臣	シン、ジン	""retainer",,,
"1045	芯	シン	wick",,,
"1046	身	シン、み	""body; person; the quick; one's station in life; self; heart",,,
"1047	辛	シン、から-い	""H",,,
"1048	侵	シン、おか-す	""invate",,,
"1049	信	シン	""truth; faith",,,
"1050	津	シン、つ	""port",,,
"1051	神	シン、ジン、かみ、[かん]、[こう]	""god",,,
"1052	唇	シン、くちびる	lip",,,
"1053	娠	シン	pregnancy",,,
"1054	振	シン、ふ-る、ふ-るう、ふ-れる	""wave",,,
"1055	浸	シン、ひた-す、ひた-る	""soak",,,
"1056	真	シン、ま	""truth; reality; genuineness; Buddhist sect originating in the thirteenth century""",,,
"1057	針	シン、はり	needle",,,
"1058	深	シン、ふか-い、ふか-まる、ふか-める	deep",,,
"1059	紳	シン	""good belt; gentleman""",,,
"1060	進	シン、すす-む、すす-める	advancing",,,
"1061	森	シン、もり	""woods",,,
"1062	診	シン、み-る	""seeing; diagnosing""",,,
"1063	寝	シン、ね-る、ね-かす	""sleeping; resting; bed""",,,
"1064	慎	シン、つつし-む	""be discreet",,,
"1065	新	シン、あたら-しい、あら-た、にい	""newness",,,
"1066	審	シン	""hearing",,,
"1067	震	シン、ふる-う、ふる-える	""shake",,,
"1068	薪	シン、たきぎ	firewood",,,
"1069	親	シン、おや、した-しい、した-しむ	""intimacy; parents; relative""",,,
"1070	人	ジン、ニン、ひと	""man",,,
"1071	刃	ジン、は	""blade",,,
"1072	仁	ジン、[ニ]	""virtue",,,
"1073	尽	ジン、つ-くす、つ-きる、つ-かす	""use up",,,
"1074	迅	ジン	fast",,,
"1075	甚	ジン、はなは-だ、はなは-だしい	exceedingly",,,
"1076	陣	ジン	""battle array",,,
"1077	尋	ジン、たず-ねる	fathom",,,
"1078	腎	ジン	kidney",,,
"1079	須	ス	""by all means",,,
"1080	図	ズ、ト、はか-る	""drawing",,,
"1081	水	スイ、みず	""water; ice water; Wednesday""",,,
"1082	吹	スイ、ふ-く	""breathe",,,
"1083	垂	スイ、た-れる、た-らす	""suspend",,,
"1084	炊	スイ、た-く	""cook",,,
"1085	帥	スイ	""leading (troops)""",,,
"1086	粋	スイ、いき	""purity",,,
"1087	衰	スイ、おとろ-える	""decline",,,
"1088	推	スイ、お-す	conjecture",,,
"1089	酔	スイ、よ-う	""get drunk; feel sick; be poisoned; be elated",,,
"1090	遂	スイ、と-げる	""accomplish",,,
"1091	睡	スイ	""sleep",,,
"1092	穂	スイ、ほ	""ear",,,
"1093	随	ズイ	""at the mercy of (the waves)""",,,
"1094	髄	ズイ	""marrow",,,
"1095	枢	スウ	""pivot; door""",,,
"1096	崇	スウ	high",,,
"1097	数	スウ、[ス]、かず、かぞ-える	""strength; fate; law; numbers",,,
"1098	据	す-える、す-わる	-",,,
"1099	杉	すぎ	-",,,
"1100	裾	すそ	-",,,
"1101	寸	スン	""one-tenth of a foot; measure""",,,
"1102	瀬	せ	-",,,
"1103	是	ゼ	""right",,,
"1104	井	セイ、[ショウ]、い	well",,,
"1105	世	セイ、セ、よ	""generation; world. age",,,
"1106	正	セイ、ショウ、ただ-しい、ただ-す、まさ	""right",,,
"1107	生	セイ、ショウ、い-きる、い-かす、い-ける、う-まれる、う-む、お-う、は-える、は-やす、き、なま	""birth; life",,,
"1108	成	セイ、[ジョウ]、な-る、な-す	""become",,,
"1109	西	セイ、サイ、にし	west",,,
"1110	声	セイ、[ショウ]、こえ、[こわ]	""voice; tone; alarm",,,
"1111	制	セイ	""system",,,
"1112	姓	セイ、ショウ	""surname",,,
"1113	征	セイ	""attack the rebellious; collect taxes""",,,
"1114	性	セイ、ショウ	""sex",,,
"1115	青	セイ、[ショウ]、あお、あお-い	""blue",,,
"1116	斉	セイ	""equal",,,
"1117	政	セイ、[ショウ]、まつりごと	""government",,,
"1118	星	セイ、[ショウ]、ほし	star",,,
"1119	牲	セイ	""sacrifice",,,
"1120	省	セイ、ショウ、かえり-みる、はぶ-く	""ministry",,,
"1121	凄	セイ	threaten",,,
"1122	逝	セイ、ゆ-く、い-く	""die",,,
"1123	清	セイ、[ショウ]、きよ-い、きよ-まる、きよ-める	""China",,,
"1124	盛	セイ、[ジョウ]、も-る、さか-る、さか-ん	""prosper",,,
"1125	婿	セイ、むこ	son-in-law",,,
"1126	晴	セイ、は-れる、は-らす	""clear up",,,
